Time,Idc_bat_Discharge,Vdc_bat_Discharge
0,0,367.34644
0.5,0,367.3477
1,0,367.34937
1.5,1058.110137,364.34338
2,1057.409346,364.3445
2.5,1057.522788,364.34305
3,1057.52325,364.34195
3.5,1057.610568,364.34058
4,1057.610127,364.33948
4.5,1057.640052,364.3383
5,1057.574112,364.33737
5.5,1057.563087,364.3363
6,1057.541226,364.33527
6.5,1057.5285,364.3342
7,1057.491897,364.33322
7.5,1057.51821,364.33206
8,1057.52514,364.33093
8.5,1057.521297,364.32983
9,1057.54488,364.32867
9.5,1057.56231,364.3275
10,1057.64232,364.32617
10.5,1057.644798,364.32504
11,1057.695555,364.32376
11.5,1057.701267,364.32263
12,1057.69839,364.32156
12.5,1057.639422,364.32065
13,1057.628964,364.31955
13.5,1057.58583,364.3186
14,1057.58898,364.31747
14.5,1057.527912,364.31656
15,1057.50645,364.31552
15.5,1057.492464,364.31445
16,1057.503048,364.31332
16.5,1057.489335,364.31223
17,1057.460103,364.31125
17.5,1057.510545,364.30997
18,1057.517853,364.30884
18.5,1057.551243,364.30762
19,1057.58646,364.30643
19.5,1057.608342,364.30527
20,1057.53606,364.30438
20.5,1057.496622,364.30344
21,1057.495278,364.30234
21.5,1057.492968,364.30124
22,1057.52136,364.30005
22.5,1057.539693,364.2989
23,1057.52703,364.29782
23.5,1057.496433,364.2968
24,1057.4928,364.29575
24.5,1057.490406,364.29465
25,1057.50099,364.29352
25.5,1057.470036,364.29254
26,1057.51548,364.2913
26.5,1057.487277,364.29025
27,1057.472472,364.2892
27.5,1057.481754,364.2881
28,1057.47705,364.287
28.5,1057.4382,364.286
29,1057.42476,364.28494
29.5,1057.360773,364.28403
30,1057.353276,364.28296
30.5,1057.386918,364.28174
31,1057.370244,364.28067
31.5,1057.390446,364.2795
32,1057.299894,364.2787
32.5,1057.311234,364.2776
33,1057.359366,364.27634
33.5,1057.34076,364.2753
34,1057.336224,364.2742
34.5,1057.340193,364.2731
35,1057.378203,364.27188
35.5,1057.390173,364.27072
36,1057.425684,364.26953
36.5,1057.389606,364.26855
37,1057.364805,364.26773
37.5,1057.3059,364.2668
38,1057.33551,364.26562
38.5,1057.298466,364.26465
39,1057.30233,364.26352
39.5,1057.271355,364.2625
40,1057.19649,364.26166
40.5,1057.167804,364.26065
41,1057.159656,364.25958
41.5,1057.171647,364.25845
42,1057.153188,364.25745
42.5,1057.188048,364.25623
43,1057.26789,364.2549
43.5,1057.25403,364.25385
44,1057.242837,364.2528
44.5,1057.14273,364.252
45,1057.16184,364.25085
45.5,1057.143255,364.24982
46,1057.135254,364.24875
46.5,1057.132755,364.24768
47,1057.130445,364.24658
47.5,1057.10892,364.24557
48,1057.031304,364.24472
48.5,1057.087185,364.24347
49,1057.11144,364.24228
49.5,1057.1631,364.24103
50,1057.15197,364.24
50.5,1057.15386,364.23892
51,1057.15134,364.23782
51.5,1057.086345,364.23694
52,1057.05747,364.23593
52.5,1057.091028,364.23474
53,1057.070007,364.2337
53.5,1057.118328,364.23248
54,1057.182147,364.2312
54.5,1057.253043,364.22986
55,1057.262724,364.2287
55.5,1057.277844,364.22757
56,1057.322448,364.22632
56.5,1057.422807,364.2249
57,1057.407414,364.22388
57.5,1057.403445,364.2228
58,1057.42455,364.22165
58.5,1057.422282,364.22055
59,1057.53795,364.2191
59.5,1057.549626,364.218
60,1057.527723,364.21695
60.5,1057.48755,364.21597
61,1057.43295,364.21506
61.5,1057.47579,364.21384
62,1057.478877,364.21274
62.5,1057.467348,364.2117
63,1057.470876,364.2106
63.5,1057.516635,364.20935
64,1057.539945,364.2082
64.5,1057.591794,364.20694
65,1057.59213,364.20584
65.5,1057.570836,364.2048
66,1057.517202,364.2039
66.5,1057.483245,364.20288
67,1057.458696,364.20187
67.5,1057.442925,364.20084
68,1057.53732,364.19946
