Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
0,0,361.55515
0.5,0,361.55655
1,0,361.55753
1.5,-1165.269,362.31253
2,-1226.864,363.23044
2.5,-1229.4517,363.27118
3,-1229.5354,363.27408
3.5,-1229.5499,363.2755
4,-1229.5531,363.27676
4.5,-1229.5695,363.27805
5,-1229.5792,363.2795
5.5,-1229.5673,363.28064
6,-1229.569,363.28186
6.5,-1229.5641,363.2829
7,-1229.5822,363.28397
7.5,-1229.6,363.2853
8,-1229.6078,363.2866
8.5,-1229.61,363.2878
9,-1229.5757,363.289
9.5,-1229.5607,363.29028
10,-1229.5686,363.29147
10.5,-1229.5629,363.2927
11,-1229.576,363.29404
11.5,-1229.5884,363.29526
12,-1229.5625,363.29626
12.5,-1229.5646,363.29745
13,-1229.5021,363.29837
13.5,-1229.4958,363.29953
14,-1229.4977,363.30075
14.5,-1229.4998,363.30197
15,-1229.506,363.30316
15.5,-1229.4863,363.30423
16,-1229.4808,363.30533
16.5,-1229.4565,363.3063
17,-1229.4346,363.30743
17.5,-1229.4056,363.3085
18,-1229.4413,363.3099
18.5,-1229.4589,363.3112
19,-1229.4565,363.3124
19.5,-1229.464,363.31357
20,-1229.5287,363.31464
20.5,-1229.5442,363.31577
21,-1229.5562,363.31677
21.5,-1229.5616,363.31778
22,-1229.565,363.31918
22.5,-1229.5214,363.32
23,-1229.5214,363.3212
23.5,-1229.4993,363.32233
24,-1229.4885,363.3236
24.5,-1229.4932,363.3249
25,-1229.5221,363.32623
25.5,-1229.5266,363.3274
26,-1229.5151,363.3284
26.5,-1229.5267,363.32968
27,-1229.547,363.33072
27.5,-1229.5405,363.3319
28,-1229.5186,363.33307
28.5,-1229.5059,363.3343
29,-1229.5044,363.3355
29.5,-1229.4818,363.33664
30,-1229.506,363.3379
30.5,-1229.5308,363.33914
31,-1229.5544,363.34058
31.5,-1229.572,363.34186
32,-1229.5743,363.34308
32.5,-1229.6359,363.34464
33,-1229.6488,363.34586
33.5,-1229.6482,363.3472
34,-1229.6207,363.34818
